ID,Description,Source,Name,Form_ID,Comment,Doubt
3,yes (2),,3,psi-b3382ec7260b5e472fe169863ba98706-1,,
6,yellow > brown,,6,psi-3ebf863fbbc77461cc508f148112c55c-1,,
18,"within, inside",,18,pmv-6935b154852e9b7980688b0f909dc8bf-1,"As is the case in other |*rh| clusters, this term is probably
bimorphemic with a division between the |r| and the |h|.",
19,"with, instrument",,19,psi-17a607db78fe1fd6cb2d93cf17cc3692-1,,
21,"wipe, rub, scour",,21,pmv-81be8708625d22fbdf204f4fba23b106-1,,
1,yesterday (2),,1,pch-f3be4e6970b83bda9781dc0519c72590-1,Cf. ‘**2**’.,
8,yawn,,8,psi-11cc5ffb22783902e83b0a773d9f8a4e-1,Cf. ‘**557**’.,
38,white man,,38,pda-259ddbe6711d834e79998c65f4617afc-1,"This is presumably a diffused form, found only in the north country,
origin uncertain.",
41,whistle (3),,41,psi-63710bb03f7eff47bd9cdf9b78c7bd95-1,"The accentual pattern and vowel length here are unexplained and would
normally imply an old initial syllable.",
44,whip,,44,pmv-eda88c23fdc9a8dc1f30c3243e63ec4b-1,,
54,weak,,54,pmv-06eb18edb3b020b59a0e63c6d6b948ab-1,,
62,want (2),,62,psi-39856617a23b74f46b0e54031f6b29ea-1,,
63,want (1),,63,psi-e34c5734ae95d15c486ebe0b0afec964-1,,
67,wait for,,67,pmv-ec2487b13ea60b59d75aab31fdfa62e4-1,,
91,twist > curly (3),,91,psi-c073acd9d290aae691d9e6d25fa5a41b-1,,
92,twist > curly (2),,92,psi-67d92931806656bedcb2bfdabfa4e4f2-1,,
93,twist > curly (1),,93,psi-4b47a955f3acf69079dfd7920dd46658-1,,
94,twist (3),,94,psi-dd7f88a5ba00ce5a1d77859fb864da05-1,,
98,"twin, pair",,98,psi-baaba72129d77e01aa5ce72d22d2baa2-1,,
102,"turnip, Psoralea (1)",,102,psi-fe1ee5047afb0024e213d9d2a9a2d3b0-1,,
103,turn over (4),,103,psi-415ae7d901a371d8c651717c953c5a93-1,The MVS forms show a different fricative symbolism grade from the rest.,
105,"turn over (2), roll (2)",,105,pmv-0aeaf6ee3c6f9be6c94f6fe6530836b3-1,"This form is derived from {*ptą́•}, q.v., with a root extension
and appears to be restricted to MVS.",
111,travel,,111,psi-c73b93fd023e9097287999858db1d3fd-1,,
113,trade,,113,pma-4f715c5e4a6ce7ca04b502cbe99a13f5-1,,
118,toward,,118,pmv-0659d94602cd65d35b49eada940a4c94-1,"Other languages have the Quapaw ethnonym, but these may not be cognates.",
125,time reference,,125,psi-0d91ef62e971cc3cb392deff2330cc6b-1,,
127,tie (2),,127,pmv-45ca835711c96c44b3c18990fe0cbf53-1,,
372,separate (2),,372,psi-5a3dde93771aea2910693c69e28c0db2-1,,
134,three,,134,psc-119d2c0062d8f08280e400276c7aad88-1,"This is one of the few really good Siouan-Catawban sets. The accentual
pattern suggests that this word was originally a compound, since initial
syllable accented long vowels should not be possible in polysyllabic words.

It is strange that nasalization has not reached the initial resonant except
in Catawban.",
137,"this, here, now (1)",,137,psi-04bc67b2cc1dcdd89aee6c96eecc2328-1,"It is not unusual in Siouan languages for a single word or morpheme to
be translated ‘this, here, now’.  Thus the DH locative suffixes may be
cognate with the more northerly demonstratives.",
138,this side (2),,138,pmv-9834a6e5a966baff28f4b33d33409015-1,,
42,whistle (2),,42,psi-2900278349103b2e6e83aa86626e59bb-1,"**PSI** vowel length is reconstructed on the basis of the more widely
attested |s| grade.",
166,swell (1),,166,psi-e1a7fc6de34eca1cc0b0a0e4d25c6b24-1,,
178,suck (3),,178,pma-bac5f7d53efa962c9a4023da7770eaa6-1,,
