pk,jsondata,id,name,description,markup_description,version
3,{},3,yes (2),,,1
6,{},6,yellow > brown,,,1
18,{},18,"within, inside","As is the case in other |*rh| clusters, this term is probably
bimorphemic with a division between the |r| and the |h|.",,1
19,{},19,"with, instrument",,,1
21,{},21,"wipe, rub, scour",,,1
1,{},1,yesterday (2),Cf. ‘**2**’.,,1
8,{},8,yawn,Cf. ‘**557**’.,,1
38,{},38,white man,"This is presumably a diffused form, found only in the north country,
origin uncertain.",,1
41,{},41,whistle (3),"The accentual pattern and vowel length here are unexplained and would
normally imply an old initial syllable.",,1
44,{},44,whip,,,1
54,{},54,weak,,,1
62,{},62,want (2),,,1
63,{},63,want (1),,,1
67,{},67,wait for,,,1
91,{},91,twist > curly (3),,,1
92,{},92,twist > curly (2),,,1
93,{},93,twist > curly (1),,,1
94,{},94,twist (3),,,1
98,{},98,"twin, pair",,,1
102,{},102,"turnip, Psoralea (1)",,,1
103,{},103,turn over (4),The MVS forms show a different fricative symbolism grade from the rest.,,1
105,{},105,"turn over (2), roll (2)","This form is derived from {*ptą́•}, q.v., with a root extension
and appears to be restricted to MVS.",,1
111,{},111,travel,,,1
113,{},113,trade,,,1
118,{},118,toward,"Other languages have the Quapaw ethnonym, but these may not be cognates.",,1
125,{},125,time reference,,,1
127,{},127,tie (2),,,1
372,{},372,separate (2),,,1
134,{},134,three,"This is one of the few really good Siouan-Catawban sets. The accentual
pattern suggests that this word was originally a compound, since initial
syllable accented long vowels should not be possible in polysyllabic words.

It is strange that nasalization has not reached the initial resonant except
in Catawban.",,1
137,{},137,"this, here, now (1)","It is not unusual in Siouan languages for a single word or morpheme to
be translated ‘this, here, now’.  Thus the DH locative suffixes may be
cognate with the more northerly demonstratives.",,1
138,{},138,this side (2),,,1
42,{},42,whistle (2),"**PSI** vowel length is reconstructed on the basis of the more widely
attested |s| grade.",,1
166,{},166,swell (1),,,1
178,{},178,suck (3),,,1
181,{},181,"stun, kill","We reconstruct {*-i} since {-e} is the most common unaccented
ending and the class into which many verbs are regularized.",,1
188,{},188,strike (2),,,1
189,{},189,strike (1),,,1
190,{},190,stretch (3),,,1
194,{},194,straight,,,1
196,{},196,stop (2),,,1
212,{},212,star (3),Basically a set of leftover but possibly related forms.,,1
240,{},240,spread > flat (4),"Comparison of this with the several forms meaning ‘spread’ strongly
suggests that this term had vowel length.",,1
218,{},218,stagger,,,1
227,{},227,squeeze (7),,,1
243,{},243,spread > flat (1),"Comparison of this with the several forms meaning ‘spread’ strongly
suggests that this term had vowel length.",,1
245,{},245,spread (2),,,1
246,{},246,spread (1),"Comparison of this with the several forms meaning ‘spread’ strongly
suggests that this term had vowel length.",,1
255,{},255,split (5),,,1
