pk,jsondata,id,name,description,markup_description,date,version
1,{},1,"Entry ""yesterday (2)""",,,,1
2,{},2,"Entry ""yesterday (1)""",,,,1
3,{},3,"Entry ""yes (2)""",,,,1
4,{},4,"Entry ""yes (1), to be so""",,,,1
5,{},5,"Entry ""yellow > tawny""",,,,1
6,{},6,"Entry ""yellow > brown""",,,,1
7,{},7,"Entry ""yellow""",,,,1
8,{},8,"Entry ""yawn""",,,,1
9,{},9,"Entry ""wrist (2)""",,,,1
10,{},10,"Entry ""wrist (1)""",,,,1
11,{},11,"Entry ""wrinkle (3)""",,,,1
12,{},12,"Entry ""wrinkle (2)""",,,,1
13,{},13,"Entry ""wrinkle (1), ruffle""",,,,1
14,{},14,"Entry ""wrap""",,,,1
15,{},15,"Entry ""wound""",,,,1
16,{},16,"Entry ""worm""",,,,1
17,{},17,"Entry ""woodpecker""",,,,1
18,{},18,"Entry ""within, inside""",,,,1
19,{},19,"Entry ""with, instrument""",,,,1
20,{},20,"Entry ""wise, smart, mature""",,,,1
21,{},21,"Entry ""wipe, rub, scour""",,,,1
22,{},22,"Entry ""wipe > rub, sweep""",,,,1
23,{},23,"Entry ""winter""",,,,1
24,{},24,"Entry ""wing (2)""",,,,1
25,{},25,"Entry ""wing (1)""",,,,1
26,{},26,"Entry ""wind (3)""",,,,1
27,{},27,"Entry ""wind (2)""",,,,1
28,{},28,"Entry ""wind (1)""",,,,1
29,{},29,"Entry ""win""",,,,1
30,{},30,"Entry ""wilt""",,,,1
31,{},31,"Entry ""willow, Salix sp.""",,,,1
32,{},32,"Entry ""will, purpose""",,,,1
33,{},33,"Entry ""wild cat (2)""",,,,1
34,{},34,"Entry ""wild cat (1)""",,,,1
35,{},35,"Entry ""wife""",,,,1
36,{},36,"Entry ""whoop""",,,,1
37,{},37,"Entry ""who""",,,,1
38,{},38,"Entry ""white man""",,,,1
39,{},39,"Entry ""white (2)""",,,,1
40,{},40,"Entry ""white (1)""",,,,1
41,{},41,"Entry ""whistle (3)""",,,,1
42,{},42,"Entry ""whistle (2)""",,,,1
43,{},43,"Entry ""whistle (1), chirp""",,,,1
44,{},44,"Entry ""whip""",,,,1
45,{},45,"Entry ""when""",,,,1
46,{},46,"Entry ""what size""",,,,1
47,{},47,"Entry ""weigh""",,,,1
48,{},48,"Entry ""weave (2)""",,,,1
49,{},49,"Entry ""weave (1)""",,,,1
50,{},50,"Entry ""wear pants, wear on legs""",,,,1
51,{},51,"Entry ""wear on the feet""",,,,1
52,{},52,"Entry ""wear around the neck""",,,,1
53,{},53,"Entry ""wear about the shoulders""",,,,1
54,{},54,"Entry ""weak""",,,,1
55,{},55,"Entry ""water, liquid""",,,,1
