pk,phonetic,comment,original_entry,other_reconstructions
1,,,húuli- ‘yesterday’ DEC-38,
2,,,,
3,,,hú•riširu ‘yesterday’ J,
4,,,hóraʔke ‘yesterday’ C,
5,†ó•wati,,"†ó•wati ‘yesterday’ DS-328, Ssf",
6,,,θʔída ‘long ago’ JGT92-69,
7,,,siótti ‘yesterday’ JOD,
8,,,sųdá• KS/G (?),
9,†sitǫ́•le,,†sitǫ́•le “setoŋle” ‘yesterday’ (H1879),
10,†sito•,,†sito• “sitō” ‘yesterday’ (H1883a),
11,†sito•,,šitóre “citóre”(JOD-1882),
12,†sito•,,,
13,,,ʔsídoǰi ~ sidóǰi ‘yesterday’ RR,
14,,,,
15,,,,
16,†sitóci,,†sitóci “çidódsi” ‘yesterday’ LF-358a,
17,†sidadi,,†sidadi “çidadi” ‘yesterday’ SW-192,
18,,,,
19,,,,
20,,,"ée ‘yes, used by children’ JOD",
21,,,"hawé ‘hello, greeting’",
22,,,éhą ‘female exclamation’ Boas + Swanton-935,
23,,,,
24,,,howé ‘female speech’ RR,
25,,,,
26,,,ée ‘yes’ J,
27,,,ée RG,
28,†howé,,†howé “howé” LF-67b,
29,,,,
30,,,,
31,,,hų́• ‘yes’ C,
32,†ą,female speaker,†ą “aⁿ ” (female speaker),
33,†ąhą́,male speaker,†ąhą́ “aⁿháⁿ ” (male speaker) DS-177a,
34,,,"hą́, ohą́ ‘yes’ C",
35,,no aspiration,hų́če (no aspiration) Marsh,
36,,,hįbáʔ KS/Sw (?),
37,†ahą́,,"†ahą́ “ahá, aháñ”H.",
38,,,hą PAS,
39,,,"hą́, hą́ą KM-776",
40,,,éhą ‘female exclamation’,
41,,,áhą ‘male exclamation’ Boas + Swant. 935,
42,,,,
43,,,,
44,,,,
45,,,"hą, ho",
46,,,hą RR,
47,,,"ąhá ‘yes, female speech’ RR",
48,,,ho ‘yes’ J,
49,,,,
50,†hą,"Cf. |hą́ži| ‘no, not so’ where |-ži| is ‘negative’","†hą “hǫ” JOD; RR (cf. hą́ži ‘no, not so’ where -ži is ‘negative’)",
51,,,,
52,†ą,,†ą “oⁿ” LF-121b,
53,,,,
54,,,ą́hą ‘yes’ JOD,
55,,ži,žihí ‘reddish yellow’ JOD; ži,
56,,,,
57,,,,*yí.
58,,,sí•re ‘yellow’ C,
59,,,"ží ‘golden, rusty’ C",
60,,,yi RR,
61,,,žíi ‘brown’ KM-4015,
62,,,,
63,,,"ží, žíhi RR",
64,,,,
65,,,"ší•re ~ šíʔre “ší•ri ~ šíʔiri” ‘brown, tan, tawny’ J",
66,,,,
67,,,,
68,,,,
69,,,ší•li ‘yellow’ GG-55. DEC-85,
70,,,ží ‘pink’ SW-137,
71,†žíhi,,"†žíhi “zhíhi” ‘reddish, pink’ LF-222b",
72,,,,
73,,,,
74,,,,
75,†xí•re,,†xí•re “xíre” ‘brown’ H-316,
76,,,"ɣí ‘rusty, brown’ C",
77,,,ɣí PAS,
78,,,ɣíi ‘light brown’ KM-489,
79,,,,
80,,,mąɣíga ‘colored ɣi from the earth’ JOD,
81,,,,
82,,,xí•re ‘faded yellow or brown’ J,
83,,,,
84,,,,
85,,,"xí•li ‘gray’ GG-62, DEC-85",
86,,,,
87,,,"mąčhó-ɣi prob. brown bear, personal name, JOD1890:692",
88,,,,
89,,,"ði• ‘yellow’ C, RR",
90,,,siri ‘clear (as water)’ KS/SW,
91,,,,
92,,,"zi ‘yellow, pale’ C",
93,,,siī ‘yellow’ H.,
94,,,wāsi ‘yellow’ H.,
95,,,,*rí; *si-rí
96,,,,
97,†sí,,"†sí “sí; sidí, sídi; sihiyĕ´” ‘make yellow’ conjugated “sihi haye”, etc. DS-254a",
98,,,zii ‘yellow’ KM-3975,
99,,,,
100,,,zi ‘yellow’ R-649b,
101,,,cí•ri ~ cíʔiri ‘yellow’ J,
102,,,,
103,,,zí ‘yellow’ RR,
104,,,,
105,,,"ší•re ‘tawny colored, light brown’ C",
106,,,sí•re ‘yellow’ C,
107,†fhí•,,†fhí• “fhí” ‘yellow’ DS-323b,
108,†əkfú• fhi•,,"†əkfú• fhi• ‘yellow bead’ DS-319, Ssf",
109,,,zíhi ‘yellow’ RR,
110,,,,
111,,,,
112,,,zí ‘yellow’ RR,
113,,,,
114,,,zi ‘yellow’ C/RR,
115,,,,
116,,,,
117,,,í•hwere•roʔš ‘he yawned’ C,
118,,1s iyo-wa-ya,iyóya ‘yawn’ (1s iyo-wa-ya) C,
119,,,“i^ára” ‘yawn’ JGT92-29,
120,,,ʔiyaára JWE,
121,,,,
122,,1s iyo-wa-wa,iyówa ‘yawn’ (1s iyo-wa-wa) R-237,
123,,,í•ra• ‘yawn’ J,
124,,,,
125,,1sg. iábda,iáda (1sg. iábda) JOD,
126,,,,
127,,,uʔšų́ʔšų Marsh,
128,,,áošǫšǫ JOD,
129,,,"áošǫ́šo RR, JOD",
130,,,,
131,†aošǫšǫ,,"†aošǫšǫ “aushoⁿshoⁿ” LF-358b, -17a",
132,,,“ushoⁿshoⁿ ” SW-190,
133,,,xí•pE “xí•pi” ‘wrinkled’ J,
134,,,,
135,,,xíipi ‘wrinkled’ GG-62,
136,,,,
137,,,,
138,,,xí•poʔš ‘it’s wrinkled’ C (?),
139,,,,
140,,,,
141,,,"xʔi, oyú- ‘a pimple, a rough place, pimples’ B-419",
142,†xixiká,,†xixiká “xixiká” ‘ruffle up’ DS-221a (?),
143,,,"ruxʔį́ ‘wrinkle, e.g., one’s nose’ KM-2763",
144,,,"waxʔįxʔį́ híi ‘mess up (e.g., bed)’ KM-3517",
145,,,hoįxʔí ‘be wrinkled’ KM-3848,
146,,,,
147,,,,
148,,,,
149,†yuxʔí,,"†yuxʔí “yuḣí” ‘pimpled, rough’ R-626b",
150,,,cʔį́ya ‘wrinkle’ (MR),
151,,,xʔį́xʔį ‘wrinkled’ Marsh,
152,,,,
153,,,,
154,†cʔįðá,,†cʔįðá “ṭsʔiⁿthá” LF-163a,
155,,,,
156,†paxíya,,"†paxíya “paḣíya” ‘roughly, not smooth’ R-406a",
157,,,,
158,†xixiká,,†xixiká “xixiká” ‘ruffle up the feathers as birds’ DS-221a,
159,,,paɣį́ɣį ‘make wrinkles by rubbing’ B-423a (?),
160,,,,
161,,,"šį, odí- ‘wrap, fold in a bundle’ RR",
162,,,"šį́, haru- ‘put in a bag or sack’ KM-684",
163,,,"šį́, higi- ‘bow tie, n. (as in shoestring)’ KM-850",
164,,,,
165,,,,
166,,,"šį, oyǘ- ‘bundle something up, cover by surrounding’ RR",
167,,,,
168,†péšį,,†péšį “béshiⁿ” ‘flared’,
169,†pethą́,,†pethą́ “beṭóⁿ” ‘fold something’ LF-26b,
170,†í-o,,"†í-o “íyo” ‘shoot, wound’ JOD",
171,,,,
172,,,,*ʔú
173,,,úʔš ‘he wounded it’ C,
174,†ódi,,†ódi “ódi” ‘shoot’ DS-239b,
175,†ódi,,kiyó ‘shoot for one [benefactive]’ DS-239b,
176,,,"ʔó (1s waʔó, 1p ųkʔópi) ‘wound sth.’ C",
177,,,ó ‘wound’ JGT92-285,
178,,,o ‘shoot’ PAS,
179,,,óo ‘hit the mark’ KM-2405,
180,,,hiʔó ‘hit the mark’ KM-2404,
181,,,ʔo ‘?’ Marino,
182,,,,
183,,,,
184,,,,
185,,,ʔó (1p ųkʔópi) ‘shoot and hit’ R-344a,
186,,,"ó ~ ó• ‘shoot, wound’ RR",
187,,,,
188,,,úʔ “úʔu” ‘shoot and wound’ J,
189,,,,
190,,,,
191,,,,
192,,,uú ‘hit target’ GG-58,
193,†ʔo•,,"†ʔo•” ‘oo” ‘shoot, wound’ JOD1890:24",
194,†ʔo,,"†ʔo “u (1s “a´-u”, 2s “tha´-u”, 1p “oⁿ´-u i”)” ‘to wound, hurt’ LF-165a",
195,,,,
196,,,,
197,,,,
198,,,,
199,†thámaka,,"†thámaka “támak̇a” ‘poor, lean’ B-477a",
200,†thámaka,,"thamáheča ‘poor, lean’ B-477a",
201,,,tamokí ‘worm’ DS-269,
202,,,camą́kazí ‘back of the neck’ KM-179 (?),
203,,,,
204,,,"“támaka” ‘poor, lean’ R-456a",
205,,,"“támaheća, tamáheća” ‘poor, lean’ R-456a",
206,,,thámą khaðí ‘nape of the neck’ Marsh (?),
207,,,,
208,,,,
209,†htamą́,,†htamą́ “ṭamoⁿ´” ‘earthworm’ LF-138a,
210,,,,
211,†ttamą,,†ttamą “tamoⁿ ”Sw-70,
212,,,,
213,,,,
214,,,tóška ‘woodpecker’ H-255,
215,,,"thoskála ‘downy Woodpecker, red spot on head’ B-500b",
216,,,thóhglégleðe Marsh,
217,,,čhóhglégleðe ‘blue-speckled all over’ Marsh,
218,,,"čoosgé ‘blue jay, tattletail’ KM-265",
219,,,čoosge pasúč ‘red headed woodpecker’ KM-266,
220,,,,
221,,,,
222,†toskádą,,†toskádą ‘the common woodpecker’ R-478b,
223,,,tó•ška ‘woodpecker’ J,
224,,,,
225,,,,
226,†htóska,,†htóska “ṭúçka” ‘sapsucker’ LF-165b,
