ID,GLOSS,CONCEPTICON_ID,CONCEPTICON_GLOSS
1204,"1st inclusive actor prefix",,
1203,"1st inclusive disjunctive pronoun",,
1202,"1st inclusive patient prefix",,
1201,"1st inclusive possessor, alienable",,
1200,"1st plural (exclusive?)",,
1199,"1st singular actor prefix (underlying)",,
1198,"1st singular actor, syncope product (allomorph)",,
1197,"1st singular disjunctive",,
1196,"1st singular patient (1)",,
1195,"1st singular patient (2) (clitic)",,
1194,"1st singular possessor",,
1193,"1st singular possessor, inalienable",,
1192,"2nd singular actor prefix",,
1191,"2nd singular actor, syncope product (allomorph)",,
1190,"2nd singular disjunctive pronoun",,
1189,"2nd singular patient clitic",,
1188,"2nd singular possessor",,
1187,"Englishman",,
1186,"I (agt.) on You (pat.) contraction",,
1185,"Osage",,
1184,"Otoe",,
1183,"Padouca",,
1182,"Pawnee, Arikara",,
1180,"absolutive",,
1176,"across > over, beyond, above",,
1175,"adverbializer",,
1174,"again (1)",,
1173,"again (2)",,
1172,"ahead (1)",,
1171,"ahead (2)",,
1170,"alive",1422,
1169,"all, intact",220,
1168,"ancestor, chief, elder, relative",,
1167,"antelope, goat",,
1166,"anus, buttocks, vagina, passage",,
1165,"apportative, + or - vertitive",,
1164,"arise (1)",,
1163,"arise (2) > get up",,
1162,"arise (3)",,
1159,"arrive here",,
1158,"arrive here vertitive",,
1157,"arrive there",,
1156,"arrive there vertitive",,
1155,"arrowleaf (Sagittaria latifolia)",,
1154,"artichoke, edible root",,
1153,"ash (tree), Fraxinus",,
1152,"ashes (1)",,
1151,"ashes (2)",,
1150,"ask",,
1149,"augmentative (1)",,
1148,"augmentative (2)",,
1147,"aunt, father’s sister",,
1145,"awaken",,
1142,"back, returned",,
1141,"bad (1)",,
1140,"bad (2)",,
1139,"badger",,
1138,"bag, sack, container",,
1136,"ball joint > shoulder",,
1135,"bare",,
1134,"bark of tree (outer)",1204,
1133,"base, root, stump",,
1131,"basswood, inner bark?",,
1128,"beads",,
1127,"beans",,
1126,"bear > black bear (1)",,
1125,"bear > black bear (2)",,
1124,"bear > grizzly",,
1121,"bedding, covering",,
1120,"bee (1)",,
1119,"bee (2)",,
1118,"beg",,
1117,"behind, in back",,
1114,"belt, sash",,
1113,"bend (1)",,
1112,"bend (2)",,
1111,"bend (3)",,
1110,"bend (4)",,
1109,"bend (5)",,
1108,"bend (6)",,
1107,"bend (7)",,
1106,"bend (8)",,
1105,"bend (9)",,
1104,"bend > bend back and forth",,
1103,"bend > fold, curl",,
1102,"bend > limp, be lame",,
1101,"berry, grape",,
1098,"beyond > other, across (1)",,
1096,"big (1)",,
1095,"big (2)",,
1094,"bile (1), gall",,
1093,"bile (2)",,
1092,"bird (1)",,
1091,"bird (2)",,
1090,"bird (3)",,
1089,"bird (4)",,
1088,"bird (5)",,
1087,"bird > game bird, turkey",,
1086,"bison",,
1085,"bison, reddish yellow buffalo",,
1083,"black (1)",,
1082,"black (2)",,
